covariate_id,covariate_name,covariate_analysis_id,analysis_id,database_id
6003,age group:  30 -  34,3,1,CDMPv535_ABMI
3003,age group:  15 -  19,3,1,CDMPv535_ABMI
9003,age group:  45 -  49,3,1,CDMPv535_ABMI
4003,age group:  20 -  24,3,1,CDMPv535_ABMI
12003,age group:  60 -  64,3,1,CDMPv535_ABMI
15003,age group:  75 -  79,3,1,CDMPv535_ABMI
7003,age group:  35 -  39,3,1,CDMPv535_ABMI
10003,age group:  50 -  54,3,1,CDMPv535_ABMI
13003,age group:  65 -  69,3,1,CDMPv535_ABMI
5003,age group:  25 -  29,3,1,CDMPv535_ABMI
11003,age group:  55 -  59,3,1,CDMPv535_ABMI
8003,age group:  40 -  44,3,1,CDMPv535_ABMI
14003,age group:  70 -  74,3,1,CDMPv535_ABMI
8532001,gender = FEMALE,1,1,CDMPv535_ABMI
256722210,condition_era group during day -365 through 0 days relative to index: Bronchopneumonia,210,1,CDMPv535_ABMI
4163270210,condition_era group during day -365 through 0 days relative to index: Seronegative arthritis,210,1,CDMPv535_ABMI
196463210,condition_era group during day -365 through 0 days relative to index: Alcoholic cirrhosis,210,1,CDMPv535_ABMI
4002134210,condition_era group during day -365 through 0 days relative to index: Osteoporosis in endocrine disorders,210,1,CDMPv535_ABMI
198185210,condition_era group during day -365 through 0 days relative to index: Chronic renal failure,210,1,CDMPv535_ABMI
4143008210,condition_era group during day -365 through 0 days relative to index: Drug-induced cirrhosis of liver,210,1,CDMPv535_ABMI
42596380210,condition_era group during day -365 through 0 days relative to index: Allergic dermatitis,210,1,CDMPv535_ABMI
261326210,condition_era group during day -365 through 0 days relative to index: Viral pneumonia,210,1,CDMPv535_ABMI
4049964210,condition_era group during day -365 through 0 days relative to index: Acute bacterial bronchitis,210,1,CDMPv535_ABMI
319826210,condition_era group during day -365 through 0 days relative to index: Secondary hypertension,210,1,CDMPv535_ABMI
76196210,condition_era group during day -365 through 0 days relative to index: Palindromic rheumatism,210,1,CDMPv535_ABMI
4049417210,condition_era group during day -365 through 0 days relative to index: Vesicular eczema,210,1,CDMPv535_ABMI
380111210,condition_era group during day -365 through 0 days relative to index: Acute atopic conjunctivitis,210,1,CDMPv535_ABMI
443611210,condition_era group during day -365 through 0 days relative to index: Chronic kidney disease stage 5,210,1,CDMPv535_ABMI
